t,pair,gap_min,pile_gap_min,gap_1_2,gap_1_3,gap_2_3
50.550,1-2,0.5815,-1.0000,0.5815,0.5845,1.1476
50.600,1-2,0.5814,-1.0000,0.5814,0.5845,1.1477
50.650,1-2,0.5812,-1.0000,0.5812,0.5844,1.1477
50.700,1-2,0.5810,-1.0000,0.5810,0.5844,1.1477
50.750,1-2,0.5808,-1.0000,0.5808,0.5843,1.1477
50.800,1-2,0.5806,-1.0000,0.5806,0.5842,1.1477
50.854,1-2,0.5789,-1.0000,0.5789,0.5839,1.1471
50.904,1-2,0.5788,-1.0000,0.5788,0.5839,1.1471
50.954,1-2,0.5788,-1.0000,0.5788,0.5839,1.1471
51.000,1-2,0.5788,-1.0000,0.5788,0.5839,1.1471
51.050,1-2,0.5788,-1.0000,0.5788,0.5839,1.1471
51.100,1-2,0.5787,-1.0000,0.5787,0.5836,1.1474
51.150,1-2,0.5791,-1.0000,0.5791,0.5825,1.1482
51.200,1-2,0.5797,-1.0000,0.5797,0.5812,1.1488
51.250,1-2,0.5805,-1.0000,0.5805,0.5805,1.1492
51.300,1-3,0.5799,-1.0000,0.5816,0.5799,1.1492
51.350,1-3,0.5797,-1.0000,0.5827,0.5797,1.1490
51.400,1-3,0.5800,-1.0000,0.5839,0.5800,1.1487
51.450,1-3,0.5810,-1.0000,0.5847,0.5810,1.1484
51.500,1-3,0.5833,-1.0000,0.5851,0.5833,1.1483
51.550,1-2,0.5852,-1.0000,0.5852,0.5863,1.1486
51.600,1-2,0.5860,-1.0000,0.5860,0.5882,1.1497
51.650,1-2,0.5859,-1.0000,0.5859,0.5895,1.1508
51.700,1-2,0.5858,-1.0000,0.5858,0.5895,1.1504
51.750,1-2,0.5857,-1.0000,0.5857,0.5895,1.1486
51.800,1-2,0.5858,-1.0000,0.5858,0.5890,1.1464
51.850,1-2,0.5861,-1.0000,0.5861,0.5884,1.1446
51.900,1-2,0.5865,-1.0000,0.5865,0.5879,1.1432
51.950,1-2,0.5872,-1.0000,0.5872,0.5880,1.1426
52.000,1-3,0.5883,-1.0000,0.5883,0.5883,1.1412
52.050,1-3,0.5892,-1.0000,0.5895,0.5892,1.1414
52.100,1-3,0.5903,-1.0000,0.5905,0.5903,1.1415
52.150,1-2,0.5913,-1.0000,0.5913,0.5914,1.1415
52.200,1-2,0.5920,-1.0000,0.5920,0.5925,1.1415
52.250,1-2,0.5925,-1.0000,0.5925,0.5932,1.1415
52.300,1-2,0.5931,-1.0000,0.5931,0.5937,1.1411
