t,pair,gap_min,pile_gap_min,gap_1_2,gap_1_3,gap_2_3
45.446,1-2,0.6213,-1.0000,0.6213,0.6358,1.1434
45.784,1-3,0.6218,-1.0000,0.6359,0.6218,1.1434
45.800,1-3,0.6220,-1.0000,0.6365,0.6220,1.1436
45.850,1-3,0.6298,-1.0000,0.6299,0.6298,1.1451
45.900,1-2,0.6239,-1.0000,0.6239,0.6412,1.1468
45.950,1-2,0.6226,-1.0000,0.6226,0.6497,1.1456
46.000,1-2,0.6243,-1.0000,0.6243,0.6524,1.1432
46.050,1-2,0.6281,-1.0000,0.6281,0.6502,1.1398
46.100,1-2,0.6324,-1.0000,0.6324,0.6452,1.1363
46.150,1-3,0.6373,-1.0000,0.6377,0.6373,1.1324
46.200,1-3,0.6283,-1.0000,0.6430,0.6283,1.1289
46.250,1-3,0.6173,-1.0000,0.6490,0.6173,1.1256
46.300,1-3,0.6067,-1.0000,0.6546,0.6067,1.1229
46.350,1-3,0.5975,-1.0000,0.6602,0.5975,1.1211
46.400,1-3,0.5905,-1.0000,0.6649,0.5905,1.1211
46.450,1-3,0.5840,-1.0000,0.6691,0.5840,1.1213
46.500,1-3,0.5797,-1.0000,0.6723,0.5797,1.1218
46.550,1-3,0.5758,-1.0000,0.6752,0.5758,1.1205
46.600,1-3,0.5727,-1.0000,0.6775,0.5727,1.1195
46.650,1-3,0.5700,-1.0000,0.6800,0.5700,1.1187
46.700,1-3,0.5677,-1.0000,0.6823,0.5677,1.1182
46.750,1-3,0.5649,-1.0000,0.6849,0.5649,1.1182
46.800,1-3,0.5623,-1.0000,0.6869,0.5623,1.1168
46.850,1-3,0.5598,-1.0000,0.6886,0.5598,1.1154
46.900,1-3,0.5577,-1.0000,0.6898,0.5577,1.1141
46.950,1-3,0.5560,-1.0000,0.6908,0.5560,1.1131
47.000,1-3,0.5542,-1.0000,0.6918,0.5542,1.1122
47.050,1-3,0.5527,-1.0000,0.6926,0.5527,1.1114
47.100,1-3,0.5511,-1.0000,0.6935,0.5511,1.1106
47.150,1-3,0.5498,-1.0000,0.6942,0.5498,1.1100
47.200,1-3,0.5485,-1.0000,0.6949,0.5485,1.1093
47.250,1-3,0.5475,-1.0000,0.6955,0.5475,1.1086
47.300,1-3,0.5465,-1.0000,0.6961,0.5465,1.1079
47.350,1-3,0.5457,-1.0000,0.6965,0.5457,1.1074
47.400,1-3,0.5449,-1.0000,0.6970,0.5449,1.1069
47.450,1-3,0.5443,-1.0000,0.6973,0.5443,1.1068
47.500,1-3,0.5438,-1.0000,0.6977,0.5438,1.1073
47.550,1-3,0.5434,-1.0000,0.6979,0.5434,1.1082
47.600,1-3,0.5431,-1.0000,0.6979,0.5431,1.1086
47.650,1-3,0.5428,-1.0000,0.6976,0.5428,1.1069
47.700,1-3,0.5426,-1.0000,0.6969,0.5426,1.1053
47.750,1-3,0.5425,-1.0000,0.6955,0.5425,1.1044
47.800,1-3,0.5424,-1.0000,0.6928,0.5424,1.1045
47.850,1-3,0.5423,-1.0000,0.6882,0.5423,1.1060
47.900,1-3,0.5423,-1.0000,0.6836,0.5423,1.1059
47.950,1-3,0.5423,-1.0000,0.6795,0.5423,1.1060
48.000,1-3,0.5423,-1.0000,0.6763,0.5423,1.1051
48.050,1-3,0.5424,-1.0000,0.6740,0.5424,1.1043
48.100,1-3,0.5425,-1.0000,0.6722,0.5425,1.1034
48.150,1-3,0.5426,-1.0000,0.6710,0.5426,1.1024
48.200,1-3,0.5426,-1.0000,0.6700,0.5426,1.1014
48.250,1-3,0.5427,-1.0000,0.6695,0.5427,1.1008
48.300,1-3,0.5428,-1.0000,0.6693,0.5428,1.1007
48.350,1-3,0.5429,-1.0000,0.6694,0.5429,1.1000
48.400,1-3,0.5429,-1.0000,0.6698,0.5429,1.0983
48.450,1-3,0.5430,-1.0000,0.6698,0.5430,1.0962
48.500,1-3,0.5430,-1.0000,0.6694,0.5430,1.0953
48.550,1-3,0.5430,-1.0000,0.6691,0.5430,1.0948
48.600,1-3,0.5430,-1.0000,0.6688,0.5430,1.0947
48.650,1-3,0.5430,-1.0000,0.6687,0.5430,1.0953
48.700,1-3,0.5431,-1.0000,0.6689,0.5431,1.0953
48.750,1-3,0.5431,-1.0000,0.6694,0.5431,1.0943
48.800,1-3,0.5430,-1.0000,0.6694,0.5430,1.0935
48.850,1-3,0.5430,-1.0000,0.6691,0.5430,1.0935
48.900,1-3,0.5430,-1.0000,0.6689,0.5430,1.0938
48.950,1-3,0.5431,-1.0000,0.6689,0.5431,1.0945
49.000,1-3,0.5431,-1.0000,0.6689,0.5431,1.0956
